,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
0,After today and the past couple days I think I deserve a little self medication.,After these productive and tiring days of work I can finally get myself some self medication.,"['impermanence', 'optimism']","After today and the past couple days I think I deserve a little self medication. Strategy: ['impermanence', 'optimism']","['impermanence', 'optimism'] ","['impermanence', 'optimism'] After these productive and tiring days of work I can finally get myself some self medication."
1,"After 2 essays, 2 balls, 2 exams, 1 Pangea and Parklife, I am going to sleep for a week straight tired","I am glad I have finished 2 essays, 2 balls, 2 exams,1 Pangea and Parklife at last. I am so glad to get some good sleep.",['optimism'],"After 2 essays, 2 balls, 2 exams, 1 Pangea and Parklife, I am going to sleep for a week straight tired Strategy: ['optimism']",['optimism'] ,"['optimism'] I am glad I have finished 2 essays, 2 balls, 2 exams,1 Pangea and Parklife at last. I am so glad to get some good sleep."
2,Mama In The Hospital With Pain And A Sick Father Back At Home With My Sanity Goin Out The Window.,"Even though my mom is in pain and my dad is sick, I'm glad we're all alive",['thankfulness'],Mama In The Hospital With Pain And A Sick Father Back At Home With My Sanity Goin Out The Window. Strategy: ['thankfulness'],['thankfulness'] ,"['thankfulness'] Even though my mom is in pain and my dad is sick, I'm glad we're all alive"
3,I just used my last few miles of gas to get to after work. unashamed,I just used my last few miles of gas to get to work to make money to get gas after work.,['impermanence'],I just used my last few miles of gas to get to after work. unashamed Strategy: ['impermanence'],['impermanence'] ,['impermanence'] I just used my last few miles of gas to get to work to make money to get gas after work.
4,It seriously stresses me out trying to figure out my windshield whispers everytime it rains. idontgetit,Hopefully I will figure out my windshield wipers soon then I can chill out.,['optimism'],It seriously stresses me out trying to figure out my windshield whispers everytime it rains. idontgetit Strategy: ['optimism'],['optimism'] ,['optimism'] Hopefully I will figure out my windshield wipers soon then I can chill out.
5,"So . Damn employees gotta be assholes. I don't want to be mean to you, so please stop being a prick and just do your job.","Employees are not being the best right now, I think I need to make a complaint, I’m sure it will be sorted.","['growth', 'neutralizing', 'optimism']","So . Damn employees gotta be assholes. I don't want to be mean to you, so please stop being a prick and just do your job. Strategy: ['growth', 'neutralizing', 'optimism']","['growth', 'neutralizing', 'optimism'] ","['growth', 'neutralizing', 'optimism'] Employees are not being the best right now, I think I need to make a complaint, I’m sure it will be sorted."
6,Its time for me to go to bed and prepare my self for a long day. Goin,"I'm looking forward to an early night, big day ahead!",['optimism'],Its time for me to go to bed and prepare my self for a long day. Goin Strategy: ['optimism'],['optimism'] ,"['optimism'] I'm looking forward to an early night, big day ahead!"
7,Random money coming out of my account Bank tells me its the council .. council says they have no record.,"Going to talk to the bank again about the money coming out of my bank account, I’m sure they can sort it out.","['neutralizing', 'optimism']","Random money coming out of my account Bank tells me its the council .. council says they have no record. Strategy: ['neutralizing', 'optimism']","['neutralizing', 'optimism'] ","['neutralizing', 'optimism'] Going to talk to the bank again about the money coming out of my bank account, I’m sure they can sort it out."
8,honestly whatta horrible day! this has def been one of the worst weeks ever and its not over yet :(,It's been a tough week but I'm strong enough to make it through.,['impermanence'],honestly whatta horrible day! this has def been one of the worst weeks ever and its not over yet :( Strategy: ['impermanence'],['impermanence'] ,['impermanence'] It's been a tough week but I'm strong enough to make it through.
9,OMG I can't get a taxi 2 the boys school Ffs I can see this being a stressful day  Bloody snow do 1,I can see this being a stressful day I have to calmdown soon,"['self_affirmation', 'thankfulness']","OMG I can't get a taxi 2 the boys school Ffs I can see this being a stressful day  Bloody snow do 1 Strategy: ['self_affirmation', 'thankfulness']","['self_affirmation', 'thankfulness'] ","['self_affirmation', 'thankfulness'] I can see this being a stressful day I have to calmdown soon"
